id,deskripsi
62,"Berdekatan dengan hari besar:
- Isra' and Mi'raj (11-03-2021)
- Day of Silence (14-03-2021)
- Good Friday (02-04-2021)

Terjadi peristiwa:
- Menurut media Ngopibareng.id, pada 10 Apr 2021, Jatim Masuki Musim Pancaroba, BPBD: Waspadai Angin Puting Beliung
- Menurut media Ruang Energi, pada 05 Apr 2021, Pertamina Antisipasi Dampak Cuaca Ekstrim di NTT » Berita energi & Minerba Hari Ini
- Menurut media ANTARA News, pada 15 Mar 2021, Banjir Lamongan rendam 5.947 rumah di enam kecamatan
- Menurut media Tabloid Sinar Tani, pada 05 Apr 2021, Rain Shelter, Amankan Tanaman Cabai saat Musim Hujan"
63,"Berdekatan dengan hari besar:
- International Labor Day (01-05-2021)
- Ascension Day; Eid al-Fitr (13-05-2021)
- Eid al-Fitr Second Day (14-05-2021)

Terjadi peristiwa:
- Menurut media MONITOR.CO.ID, pada 15 Apr 2021, Awas, 23 Wilayah Ini Berpotensi Alami Cuaca Ekstrim
- Menurut media Kompasiana.com, pada 21 Apr 2021, Kebangkitan Petani Muda Milenial
- Menurut media ZonaPasar.com, pada 14 Apr 2021, PLN UID Jabar Kirimkan Tim Tanggap Darurat Bencana ke NTT"
64,"Berdekatan dengan hari besar:
- Ascension Day; Eid al-Fitr (13-05-2021)
- Eid al-Fitr Second Day (14-05-2021)"
65,"Berdekatan dengan hari besar:
- Ascension Day; Eid al-Fitr (13-05-2021)
- Eid al-Fitr Second Day (14-05-2021)
- Vesak Day (26-05-2021)"
66,"Berdekatan dengan hari besar:
- Vesak Day (26-05-2021)"
67,"Berdekatan dengan hari besar:
- Vesak Day (26-05-2021)
- Pancasila Day (01-06-2021)"
68,"Berdekatan dengan hari besar:
- Vesak Day (26-05-2021)
- Pancasila Day (01-06-2021)"
69,"Berdekatan dengan hari besar:
- Vesak Day (26-05-2021)
- Pancasila Day (01-06-2021)

Terjadi peristiwa:
- Menurut media Koran Memo, pada 02 Jun 2021, Ancaman Tsunami, Stok Ikan di Pasar Setonobetek Turun Drastis"
70,"Berdekatan dengan hari besar:
- Pancasila Day (01-06-2021)"
71,Tidak ditemukan peristiwa dalam periode tersebut.
72,"Berdekatan dengan hari besar:
- Eid al-Adha (20-07-2021)

Terjadi peristiwa:
- Menurut media CNN Indonesia, pada 07 Jul 2021, Jawa Timur Diterpa Cuaca Dingin, BMKG Sebut Fenomena Bediding
- Menurut media Gresspedia, pada 26 Jun 2021, Menilik Cafe & Resto Bintang Shofa Gresik Yang Baru Saja Opening"
73,"Berdekatan dengan hari besar:
- Islamic New Year (11-08-2021)"
74,"Berdekatan dengan hari besar:
- Islamic New Year (11-08-2021)
- Independence Day (17-08-2021)

Terjadi peristiwa:
- Menurut media Kompas.tv, pada 10 Aug 2021, Rawan Bencana Alam, KKP Pasang Rambu Peringatan Dini dan Jalur Evakuasi Sejumlah Pesisir"
75,"Berdekatan dengan hari besar:
- Islamic New Year (11-08-2021)
- Independence Day (17-08-2021)"
76,"Berdekatan dengan hari besar:
- Islamic New Year (11-08-2021)
- Independence Day (17-08-2021)"
77,Tidak ditemukan peristiwa dalam periode tersebut.
78,Tidak ditemukan peristiwa dalam periode tersebut.
79,Tidak ditemukan peristiwa dalam periode tersebut.
80,Tidak ditemukan peristiwa dalam periode tersebut.
81,Tidak ditemukan peristiwa dalam periode tersebut.
82,"Berdekatan dengan hari besar:
- Prophet's Birthday (20-10-2021)"
83,Tidak ditemukan peristiwa dalam periode tersebut.
84,"Terjadi peristiwa:
- Menurut media Mongabay.co.id, pada 07 Nov 2021, Bumi Terluka: Bencana Iklim Mengancam Ketahanan Pangan Global"
85,Tidak ditemukan peristiwa dalam periode tersebut.
86,"Terjadi peristiwa:
- Menurut media Suara Surabaya, pada 24 Nov 2021, Jetski Adventure, Daya Tarik Baru Wisata Surabaya"
87,"Berdekatan dengan hari besar:
- Christmas Day (25-12-2021)
- New Year's Day (01-01-2022)

Terjadi peristiwa:
- Menurut media ANTARA News Bangka Belitung, pada 05 Dec 2021, KSOP Tanjung Pandan imbau nahkoda kapal waspadai cuaca ekstrem
- Menurut media TVRI News, pada 04 Dec 2021, Sebaran Debu Vulkanik Gunung Semeru Sudah Memasuki Samudera Hindia
- Menurut media jatimnow.com, pada 18 Dec 2021, Rumah Warga Probolinggo Disambar Petir, Atap dan Plafon Jebol
- Menurut media Hallo Malang, pada 27 Dec 2021, 38 Rumah di Kabupaten Malang Rusak Diterjang Hujan Deras dan Angin Kencang
- Menurut media Bisnis.com, pada 06 Dec 2021, Pakar Geologi Unpad Ungkap Erupsi Gunung Semeru Tidak Terjadi Tiba-tiba, Tapi...
- Menurut media Bisnis.com, pada 05 Dec 2021, Ahli Vulkanologi ITB Ungkap Penyebab Gunung Semeru Meletus"
88,"Berdekatan dengan hari besar:
- New Year's Day (01-01-2021)"
89,"Berdekatan dengan hari besar:
- Isra' and Mi'raj (11-03-2021)
- Day of Silence (14-03-2021)"
90,"Berdekatan dengan hari besar:
- Isra' and Mi'raj (11-03-2021)
- Day of Silence (14-03-2021)
- Good Friday (02-04-2021)"
91,"Berdekatan dengan hari besar:
- Good Friday (02-04-2021)

Terjadi peristiwa:
- Menurut media Ruang Energi, pada 05 Apr 2021, Pertamina Antisipasi Dampak Cuaca Ekstrim di NTT » Berita energi & Minerba Hari Ini"
92,Tidak ditemukan peristiwa dalam periode tersebut.
93,"Berdekatan dengan hari besar:
- International Labor Day (01-05-2021)

Terjadi peristiwa:
- Menurut media Kompasiana.com, pada 21 Apr 2021, Kebangkitan Petani Muda Milenial"
94,"Berdekatan dengan hari besar:
- International Labor Day (01-05-2021)"
95,"Berdekatan dengan hari besar:
- International Labor Day (01-05-2021)"
96,"Berdekatan dengan hari besar:
- Ascension Day; Eid al-Fitr (13-05-2021)
- Eid al-Fitr Second Day (14-05-2021)"
97,"Berdekatan dengan hari besar:
- Ascension Day; Eid al-Fitr (13-05-2021)
- Eid al-Fitr Second Day (14-05-2021)"
98,"Berdekatan dengan hari besar:
- Ascension Day; Eid al-Fitr (13-05-2021)
- Eid al-Fitr Second Day (14-05-2021)"
99,"Berdekatan dengan hari besar:
- Vesak Day (26-05-2021)
- Pancasila Day (01-06-2021)"
100,"Berdekatan dengan hari besar:
- Vesak Day (26-05-2021)
- Pancasila Day (01-06-2021)

Terjadi peristiwa:
- Menurut media Kompas.tv, pada 02 Jun 2021, BMKG Peringatkan Potensi Hujan Disertai Angin di Beberapa Wilayah Hari Ini, termasuk DKI Jakarta"
101,"Berdekatan dengan hari besar:
- Pancasila Day (01-06-2021)"
102,Tidak ditemukan peristiwa dalam periode tersebut.
103,"Berdekatan dengan hari besar:
- Eid al-Adha (20-07-2021)

Terjadi peristiwa:
- Menurut media CNN Indonesia, pada 07 Jul 2021, Jawa Timur Diterpa Cuaca Dingin, BMKG Sebut Fenomena Bediding
- Menurut media Gresspedia, pada 26 Jun 2021, Menilik Cafe & Resto Bintang Shofa Gresik Yang Baru Saja Opening"
104,"Berdekatan dengan hari besar:
- Eid al-Adha (20-07-2021)"
105,"Berdekatan dengan hari besar:
- Eid al-Adha (20-07-2021)

Terjadi peristiwa:
- Menurut media Antara News jatim, pada 27 Jul 2021, Olimpiade Tokyo: Arif Dwi Pangestu terkecoh embusan angin kencang"
106,Tidak ditemukan peristiwa dalam periode tersebut.
107,Tidak ditemukan peristiwa dalam periode tersebut.
108,"Berdekatan dengan hari besar:
- Prophet's Birthday (20-10-2021)"
109,Tidak ditemukan peristiwa dalam periode tersebut.
110,Tidak ditemukan peristiwa dalam periode tersebut.
111,Tidak ditemukan peristiwa dalam periode tersebut.
112,Tidak ditemukan peristiwa dalam periode tersebut.
113,Tidak ditemukan peristiwa dalam periode tersebut.
114,"Berdekatan dengan hari besar:
- Christmas Day (25-12-2021)
- New Year's Day (01-01-2022)

Terjadi peristiwa:
- Menurut media ANTARA News Bangka Belitung, pada 05 Dec 2021, KSOP Tanjung Pandan imbau nahkoda kapal waspadai cuaca ekstrem
- Menurut media jatimnow.com, pada 18 Dec 2021, Rumah Warga Probolinggo Disambar Petir, Atap dan Plafon Jebol
- Menurut media Hallo Malang, pada 27 Dec 2021, 38 Rumah di Kabupaten Malang Rusak Diterjang Hujan Deras dan Angin Kencang
- Menurut media Bisnis.com, pada 06 Dec 2021, Pakar Geologi Unpad Ungkap Erupsi Gunung Semeru Tidak Terjadi Tiba-tiba, Tapi...
- Menurut media Bisnis.com, pada 05 Dec 2021, Ahli Vulkanologi ITB Ungkap Penyebab Gunung Semeru Meletus"
115,"Berdekatan dengan hari besar:
- Christmas Day (25-12-2021)
- New Year's Day (01-01-2022)
- Lunar New Year (01-02-2022)
- Isra' and Mi'raj (28-02-2022)
- Day of Silence (03-03-2022)

Terjadi peristiwa:
- Menurut media Javasatu.com, pada 11 Mar 2022, BMKG Ingatkan Warga Tuban Selalu Waspada Cuaca Ekstrim
- Menurut media Kompas.tv, pada 21 Feb 2022, Video Amatir Rekam Hujan Es yang Terjang Dua Kecamatan di Magetan
- Menurut media TIMES Indonesia, pada 05 Feb 2022, Cuaca Ekstrim Bikin Nelayan di Paiton Probolinggo Enggan Melaut
- Menurut media Malangtimes, pada 13 Jan 2022, Produksi Padi Kabupaten Malang Alami Peningkatan, Ketahanan Pangan Dipastikan Aman
- Menurut media beritajatim.com, pada 04 Mar 2022, Kelangkaan Minyak Goreng Bukan Jadi Komoditas Utama Pendorong Inflasi
- Menurut media Liputan6.com, pada 11 Feb 2022, Gelombang Tinggi Melanda Pelabuhan Merak, Waspada Ada Bibit Siklon Tropis
- Menurut media ANTARA News, pada 14 Mar 2022, PLN tambah tegangan pada SUTT 150 kV di wilayah Surabaya
- Menurut media Jambi Independent, pada 07 Jan 2022, Cuaca Ekstrim di Jambi, Ini Wilayah yang di Terjadi Hujan Lebat Menurut BMKG
- Menurut media Jatim Hari Ini, pada 25 Jan 2022, Hujan Deras, Banjir Lumpur Genangi 2 Dusun di Ranupani Lumajang"
116,"Terjadi peristiwa:
- Menurut media Suara Surabaya, pada 23 Mar 2022, Hari Meteorologi Sedunia, Ingatkan Peran BMKG Sebagai Pemandu Informasi Cuaca
- Menurut media Karosatuklik.com, pada 23 Mar 2022, Cuaca Dingin dan Ekstrem, Rutan Kabanjahe Berikan Termos Bagi Warga Binaan"
117,Tidak ditemukan peristiwa dalam periode tersebut.
118,Tidak ditemukan peristiwa dalam periode tersebut.
119,"Berdekatan dengan hari besar:
- Good Friday (15-04-2022)"
120,"Berdekatan dengan hari besar:
- International Labor Day (01-05-2022)
- Eid al-Fitr (02-05-2022)
- Eid al-Fitr Second Day (03-05-2022)"
121,"Berdekatan dengan hari besar:
- International Labor Day (01-05-2022)
- Eid al-Fitr (02-05-2022)
- Eid al-Fitr Second Day (03-05-2022)"
122,"Berdekatan dengan hari besar:
- Vesak Day (16-05-2022)
- Ascension Day (26-05-2022)
- Pancasila Day (01-06-2022)

Terjadi peristiwa:
- Menurut media Tribrata News, pada 30 May 2022, Melebihi HET, Petugas Temukan Penjual Minyak Goreng Curah Di Sidoarjo
- Menurut media Kompas.com, pada 29 May 2022, Cuaca Ekstrem di Gunung Lawu, Jumlah Pendaki Lewat Jalur Cemoro Kandang Menurun
- Menurut media Priangan Timur News, pada 20 May 2022, Tidak Aman untuk Berlayar Kapal Indonesia Kembali Masuk Daftar Putih di Jepang
- Menurut media Kalimantan Live, pada 24 May 2022, Info Cuaca Kalsel Hari Ini Selasa 24 Mei 2022, BMKG: Waspada Hujan Lebat di 25 Wilayah!"
123,"Berdekatan dengan hari besar:
- Eid al-Adha (10-07-2022)
- Islamic New Year (30-07-2022)

Terjadi peristiwa:
- Menurut media RRI.co.id, pada 26 Jul 2022, Cuaca Ekstrim Ancam Sebagian Wilayah Lampung
- Menurut media RRI.co.id, pada 22 Jul 2022, BMKG Cilacap Warning Cuaca Ekstrem pada 22-23 Juli 2022: Potensi Hujan Lebat dengan Petir"
124,"Berdekatan dengan hari besar:
- Islamic New Year (30-07-2022)
- Independence Day (17-08-2022)

Terjadi peristiwa:
- Menurut media detikNews, pada 09 Aug 2022, Perubahan Iklim Nyata, Sentra Bawang di Brebes Terdampak"
125,"Berdekatan dengan hari besar:
- Independence Day (17-08-2022)"
126,"Berdekatan dengan hari besar:
- Independence Day (17-08-2022)"
127,"Berdekatan dengan hari besar:
- Independence Day (17-08-2022)"
128,Tidak ditemukan peristiwa dalam periode tersebut.
129,Tidak ditemukan peristiwa dalam periode tersebut.
130,"Terjadi peristiwa:
- Menurut media Kompas.id, pada 16 Sep 2022, Mitigasi Perubahan Iklim Turut Mencegah Peningkatan Kemiskinan
- Menurut media JTV Bojonegoro, pada 09 Sep 2022, Manfaatkan Limbah Pasir Silika, Panen Udang Vaname di Tuban Melimpah
- Menurut media Sukabumi Update, pada 20 Sep 2022, Di Sukabumi Paling Bahaya, Daftar Jalur Ilegal Pendakian Gunung Gede Pangrango"
131,Tidak ditemukan peristiwa dalam periode tersebut.
132,"Berdekatan dengan hari besar:
- Prophet's Birthday (08-10-2022)

Terjadi peristiwa:
- Menurut media Kompas.tv, pada 08 Oct 2022, Peringatan Dini BMKG, Beberapa Wilayah Alami Cuaca Ekstrem Hari Ini
- Menurut media beritajatim.com, pada 13 Oct 2022, Dua Hari Terakhir, Angin Kencang Porak-porandakan Rumah di Bojonegoro
- Menurut media beritajatim.com, pada 09 Oct 2022, BMKG Peringatkan Waspada Cuaca Ekstrem Seminggu ke Depan pada 9-15 Oktober 2022
- Menurut media Tempo.co, pada 16 Oct 2022, Pengumpan Ambulans AMMDes Tingkatkan Kesehatan Masyarakat Desa"
133,"Terjadi peristiwa:
- Menurut media Nusa Daily, pada 22 Oct 2022, Cuaca Ekstrem yang Melanda Pegunungan Jateng dan Jatim, Ternyata Ini Penyebabnya"
134,Tidak ditemukan peristiwa dalam periode tersebut.
135,Tidak ditemukan peristiwa dalam periode tersebut.
136,"Terjadi peristiwa:
- Menurut media beritajatim.com, pada 14 Nov 2022, Cuaca Ekstrem, Pengunjung Air Terjun Dlundung dan Wisata Air Panas Padusan Mojokerto Menurun
- Menurut media TVRI News, pada 07 Nov 2022, Suhu Udara di Kota Palu Tertinggi Ke-3 di Indonesia
- Menurut media Bisnis.com, pada 02 Nov 2022, Pengaruh Cuaca Ekstrim, Produksi Batu Bara Tahun Ini Terkoreksi?
- Menurut media Tirto.id, pada 18 Nov 2022, Alam Kian Rempak, 1 dari 4 Warga Dunia Berisiko Kena Banjir
- Menurut media RRI.co.id, pada 17 Nov 2022, Awan Cumulonimbus, Fenomena Alam Pertanda Cuaca Ekstrim
- Menurut media PANTURA7.com, pada 16 Nov 2022, Harga Pasir Lumajang Bakal Dinaikkan, begini Alasannya"
137,"Berdekatan dengan hari besar:
- Christmas Day (25-12-2022)
- New Year's Day (01-01-2023)

Terjadi peristiwa:
- Menurut media Antara News jatim, pada 30 Dec 2022, Pasar Ikan Pabean jelang tahun baru
- Menurut media detikcom, pada 23 Dec 2022, Cuaca Ekstrem-Jelang Nataru 2023, Harga Telur dan Cabai Merangkak Naik
- Menurut media TIMES Indonesia, pada 23 Dec 2022, Waspada! Hujan Ekstrem Mengancam Kabupaten Pacitan
- Menurut media CNBC Indonesia, pada 30 Dec 2022, Awas! Ini Deretan Bencana Akibat Cuaca Ekstrem Sepanjang 2022
- Menurut media CNN Indonesia, pada 27 Dec 2022, BMKG Buka Suara soal Potensi Badai Dahsyat Jabodetabek Besok
- Menurut media Lingkar.co, pada 29 Dec 2022, Nekat Melaut Saat Cuaca Ekstrim, Tiga Nelayan Gempolsewu Kendal Tersapu Ombak
- Menurut media Kompas.com, pada 29 Dec 2022, Wana Wisata Gunung Puntang Bandung, Harga Tiket, Fasilitas, hingga Daya Tarik
- Menurut media detikcom, pada 26 Dec 2022, Sebagian Wahana di WBL Ditutup Imbas Cuaca Buruk
- Menurut media AyoJakarta.com, pada 23 Dec 2022, Jelang Libur Nataru, BMKG Ingatkan Pemudik Untuk Waspadai Cuaca Ekstrim dan Bencana Alam
- Menurut media Jatim Network, pada 25 Dec 2022, Pengurus PC IPNU dan IPPNU Kabupaten Probolinggo Dilantik, Diingatkan Soal Amanah dan Tanggung Jawab"
138,"Berdekatan dengan hari besar:
- Christmas Day (25-12-2021)
- New Year's Day (01-01-2022)"
139,"Berdekatan dengan hari besar:
- New Year's Day (01-01-2022)"
140,"Berdekatan dengan hari besar:
- Lunar New Year (01-02-2022)

Terjadi peristiwa:
- Menurut media Malangtimes, pada 13 Jan 2022, Produksi Padi Kabupaten Malang Alami Peningkatan, Ketahanan Pangan Dipastikan Aman
- Menurut media Jatim Hari Ini, pada 25 Jan 2022, Hujan Deras, Banjir Lumpur Genangi 2 Dusun di Ranupani Lumajang"
141,Tidak ditemukan peristiwa dalam periode tersebut.
142,Tidak ditemukan peristiwa dalam periode tersebut.
143,"Berdekatan dengan hari besar:
- International Labor Day (01-05-2022)
- Eid al-Fitr (02-05-2022)
- Eid al-Fitr Second Day (03-05-2022)"
144,"Berdekatan dengan hari besar:
- Ascension Day (26-05-2022)
- Pancasila Day (01-06-2022)"
145,"Berdekatan dengan hari besar:
- Ascension Day (26-05-2022)
- Pancasila Day (01-06-2022)"
146,"Berdekatan dengan hari besar:
- Pancasila Day (01-06-2022)"
147,Tidak ditemukan peristiwa dalam periode tersebut.
148,Tidak ditemukan peristiwa dalam periode tersebut.
149,Tidak ditemukan peristiwa dalam periode tersebut.
150,"Terjadi peristiwa:
- Menurut media Kompas.id, pada 16 Sep 2022, Mitigasi Perubahan Iklim Turut Mencegah Peningkatan Kemiskinan
- Menurut media JTV Bojonegoro, pada 09 Sep 2022, Manfaatkan Limbah Pasir Silika, Panen Udang Vaname di Tuban Melimpah"
151,"Terjadi peristiwa:
- Menurut media Sukabumi Update, pada 20 Sep 2022, Di Sukabumi Paling Bahaya, Daftar Jalur Ilegal Pendakian Gunung Gede Pangrango"
152,"Berdekatan dengan hari besar:
- Prophet's Birthday (08-10-2022)"
